#created from Keeper Tax's transaction data for a fictitious Chicago-based freelance graphic designer
date,plaid_merchant_description,amount,plaid_category,write_off_status (basic rules),ground_truth,keeper_merchant_description,keeper_category,write_off_status (keeper first pass),write_off_status (keeper after 1st session)
2022-01-09,DOS TOROS MEXICAN GRI CHICAGO IL WITHDRWL XX2525,18.99,['Food and Drink', 'Restaurants'],needs review,yes,Dos Toros,🍽️ business meal,needs review,yes
2022-01-09,Comcast Chicago il,79.99,['Service', 'Cable'],yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-01-09,DEBIT ONLINE PURCHASE 1/09 XXXX8324,24.86,['Shops', 'Digital Purchase'],needs review,no,Online Purchase,💰 other expense,needs review,no
2022-01-10,eBay O*25- DDAVCH,24.86,['Shops', 'Digital Purchase'],needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-01-10,DOS TOROS MEXICAN GRI CHICAGO IL,18.99,['Food and Drink', 'Restaurants'],needs review,duplicate,Dos Toros,🍽️ business meal,duplicate,duplicate
2022-01-11,MOBILE PURCHASE 01/11 MARATHON PETRO11,65.45,['Travel', 'Gas Stations'],no,no,Marathon,⛽ gas fill up,no,no
2022-01-12,Monthly Maintenance Fee,12.00,['Bank Fees'],yes,no,Monthly Maintenance Fee,🏦 bank fee,no,no
2022-01-12,DEBIT CARD PURCHASE AT SAM`S CORNER LIQUOR, CHICAGO, IL ON 011223 FROM CARD#: XXXXXXXXXXXX8324,47.73,['Shops', 'Supermarkets and Groceries'],no,no,Sam's Corner Liquor,🛒 groceries,no,no
2022-01-13,BANK OF AMERICA ATM 01/13 #XXXXX0008324 WITHDRWL 3RD AND MAIN,100.00,['Bank Fees'],no,no,ATM Withdrawal,↔️ transfer,no,no
2022-01-15,HOUSE OF SHABU SHABU,102.00,['Food and Drink', 'Restaurants'],needs review,yes,House of Shabu Shabu,🍽️ business meal,needs review,needs review
2022-01-15,Dropbox BBBZKILNMV 141-58576933 CA 01/15,13.99,['Shops', 'Digital Purchase'],needs review,yes,Dropbox,💻 software,yes,yes
2022-01-15,9643 OUT3R3A AMAZON.COMJTII35PT AMAZON.COM SEATTLEWA C# 0497,10.26,['Shops', 'Digital Purchase'],needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-01-16,Zelle Transfer Conf# 2tagioiiphw; Tim,-2175.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-01-18,MOBILE PURCHASE 01/18 SHELL,66.32,['Travel', 'Gas Stations'],no,no,Shell,⛽ gas fill up,no,no
2022-01-20,SQUARESPACE INC. HTTPSSQUARESP NY 01/20,18.75,['Shops', 'Digital Purchase'],needs review,yes,Squarespace,💻 software,yes,yes
2022-01-21,Debit from Purchase DD DOORDASH TERIYAKIKING,21.73,['Food and Drink', 'Restaurants'],needs review,no,Doordash - Teriyaki King,🍽️ business meal,no,no
2022-01-21,ONLINE TRANSFER BANK OF AMERICA 1/21 #XXXXX0008324,500.00,['Transfer', 'Debit'],needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-01-22,DD DOORDASH TERIYAKIKING,24.00,['Food and Drink', 'Restaurants'],needs review,duplicate,Doordash - Teriyaki King,🍽️ business meal,duplicate,duplicate
2022-01-24,CHECKCARD DNH*GODADDY.COM TEMPE AZ ON 01/24,9.99,['Shops', 'Digital Purchase'],needs review,yes,GoDaddy,💻 software,yes,yes
2022-01-24,LINKEDIN-781*4103855LNKD.IN/BILL CA,11.99,['Shops', 'Digital Purchase'],needs review,yes,LinkedIn,💻 software,yes,yes
2022-01-24,Debit from Purchase DD DOORDASH CHIPOTLEMEXGR,18.73,['Food and Drink', 'Restaurants'],needs review,no,Doordash - Chipotle,🍽️ business meal,no,no
2022-01-25,DD DOORDASH CHIPOTLEMEXGR,21.00,['Food and Drink', 'Restaurants'],needs review,duplicate,Doordash - Chipotle,🍽️ business meal,duplicate,duplicate
2022-01-26,WEB AUTHORIZED*0282JG LOGO INFINIX,50.88,['Shops', 'Digital Purchase'],needs review,yes,Logo Infinix,📢 advertising,yes,yes
2022-01-27,LEMONADE I* LEMONADE I NEW YORK CITY NY 23062 Mobile Purchase,10.99,['Food and Drink', 'Restaurants'],needs review,yes,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-01-27,STARBUCKS 800-782-7282 SEATTLE WAUS,9.58,['Food and Drink', 'Restaurants', 'Coffee Shop'],needs review,yes,Starbucks,☕ coffee shop,needs review,yes
2022-01-28,NETFLIX, INC 186-65797172 CA CARD8324,9.99,['Shops', 'Digital Purchase'],needs review,no,Netflix,📺 entertainment,no,no
2022-01-28,PURCHASE KEYCHRON XXXXXXX8324 ON 01/28,248.35,['Shops', 'Digital Purchase'],needs review,yes,Keychron,📦 supplies,yes,yes
2022-01-28,BANK OF AMERICA ATM 01/28 #XXXXX0008324 WITHDRWL 3RD AND MAIN,150.00,['Bank Fees'],no,no,ATM Withdrawal,↔️ transfer,no,no
2022-01-30,CHECKCARD 0130 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,65.36,['Recreation', 'Gyms and Fitness Centers'],no,no,Life Time Fitness,💇 personal care,no,no
2022-01-30,Zelle Transfer Conf# iy844gwwy; Tim,-1900.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-01-30,ONLINE TRANSFER BANK OF AMERICA 1/30 #XXXXX0008324,250.00,['Transfer', 'Debit'],needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-01-31,Zelle Transfer Conf# 682au390; Arthur Realty,1175.00,['Transfer', 'Debit'],needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-01-31,3683 WQGGH46L AMAZON.COMHYY650 AMAZON.COM SEATTLEWA C# 0497,12.21,['Shops', 'Digital Purchase'],needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-02-01,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,14.99,['Shops', 'Digital Purchase'],needs review,yes,Trello,💻 software,yes,yes
2022-02-01,PMNT SENT 0201 APPLE CASH - SENT CA XXXXX3630XXXXXXXXXX8324,960.09,['Payment', 'Credit Card'],no,no,Apple Card Payment,↔️ transfer,no,no
2022-02-02,DEBIT ONLINE PURCHASE 02/02 XXXX8324,32.55,['Shops', 'Digital Purchase'],needs review,no,Online Purchase,💰 other expense,needs review,no
2022-02-03,eBay O*25- DDAVCH,32.55,['Shops', 'Digital Purchase'],needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-02-03,PGANDE DES:WEB ONLINE ID:XXXXXXXXXX8324 INDN:JOHNNY CO ID:XXXXX11632 WEB,86.34,['Utilities'],no,yes,PG&E,🏠 utilities,yes,yes
2022-02-03,DEBIT ONLINE PURCHASE 2/03 XXXX8324,28.20,['Shops', 'Digital Purchase'],needs review,no,Online Purchase,💰 other expense,needs review,no
2022-02-04,eBay O*25- DDAVCH,28.20,['Shops', 'Digital Purchase'],needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-02-05,Zelle Transfer Conf# 7adg9h3; Adam,-22.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Adam,↔️ transfer,no,no
2022-02-05,STARBUCKS 800-782-7282 SEATTLE WAUS,10.46,['Food and Drink', 'Restaurants', 'Coffee Shop'],needs review,no,Starbucks,☕ coffee shop,needs review,yes
2022-02-07,RECURRING DEBIT CARD XXXXX2069 TMOBILEAUTO PAY XXXXX8324,75.99,['Service', 'Telecommunication Services'],yes,yes,T-Mobile,📶 phone bill,yes,yes
2022-02-07,ACH WEB IXBB54OYT ADOBE PHOTOSH,24.50,['Shops', 'Digital Purchase'],needs review,yes,Adobe Photoshop,💻 software,yes,yes
2022-02-08,EMPORIUM 40 CHICAGO IL XXXXXXXXXXXX8324,57.43,['Food and Drink', 'Restaurants'],needs review,no,Emporium,🍽️ business meal,needs review,needs review
2022-02-08,Zelle Transfer Conf# 582uyt73; Family,-80.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Family,↔️ transfer,no,no
2022-02-08,Zelle Transfer Conf# 2ag44jpio; Sarah,30.00,['Transfer', 'Debit'],needs review,no,Zelle Transfer - Sarah,↔️ transfer,needs review,no
2022-02-08,AT 09:36 SGC - ADIDAS HCM VNM DEBIT AUTHORIZATION Feb01 09:36a 8324,120.77,['Shops', 'Digital Purchase'],needs review,no,Adidas,👖 clothing,no,no
2022-02-08,PLAYSTATION NETWORK XXXXX7669,16.99,['Shops', 'Digital Purchase'],needs review,no,Playstation Network,📺 entertainment,no,no
2022-02-09,DOS TOROS MEXICAN GRI CHICAGO IL WITHDRWL XX2525,18.99,['Food and Drink', 'Restaurants'],needs review,yes,Dos Toros,🍽️ business meal,needs review,yes
2022-02-09,MOBILE PURCHASE CITY CHICA PARKING 02/09,1.57,['Travel', 'Parking'],no,yes,City of Chicago Parking,🅿️ parking,needs review,needs review
2022-02-10,DOS TOROS MEXICAN GRI CHICAGO IL,18.99,['Food and Drink', 'Restaurants'],needs review,duplicate,Dos Toros,🍽️ business meal,duplicate,duplicate
2022-02-11,Comcast Chicago il,79.99,['Service', 'Cable'],yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-02-11,Debit from Purchase DD DOORDASH CHIPOTLEMEXGR,18.73,['Food and Drink', 'Restaurants'],needs review,no,Doordash - Chipotle,🍽️ business meal,no,no
2022-02-12,MOBILE PURCHASE 02/12 MARATHON PETRO11,105.02,['Travel', 'Gas Stations'],no,no,Marathon,⛽ gas fill up,no,no
2022-02-12,POS DEBIT UDEMY SAN FRANCISC CA 0CN0 8324,14.99,['Shops', 'Digital Purchase'],needs review,yes,Udemy,🎓 industry education,needs review,yes
2022-02-12,DD DOORDASH CHIPOTLEMEXGR,21.00,['Food and Drink', 'Restaurants'],needs review,duplicate,Doordash - Chipotle,🍽️ business meal,duplicate,duplicate
2022-02-13,5374 ATJJ2322 AMAZON.COMH65YZ34BA AMAZON.COM SEATTLEWA C# 0497,40.60,['Shops', 'Digital Purchase'],needs review,no,Amazon,📦 supplies,needs review,needs review
2022-02-13,Zelle Transfer Conf# 06wku35; Tim,-1950.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-02-13,Monthly Maintenance Fee,12.00,['Bank Fees'],yes,no,Monthly Maintenance Fee,🏦 bank fee,no,no
2022-02-14,SOJU ANJU BAR,90.15,['Food and Drink', 'Restaurants'],needs review,no,Soju Anju Bar,🍽️ business meal,needs review,needs review
2022-02-14,PURCHASE AUTHORIZED ON 02/14 UNITED 016983 CHICAGO IL S303059015440144 CARD 8324,225.75,['Travel', 'Airlines and Aviation Services'],needs review,no,United Airlines,🛫 flight,needs review,no
2022-02-15,AIRBNB HM4S4WYWENB,360.58,['Travel', 'Lodging', 'Hotels and Motels'],needs review,no,AirBnB,🛏️ travel lodging,needs review,no
2022-02-15,Apple.com/Bill, Www.Apple.com,1530.68,['Payment', 'Credit Card'],no,yes,Apple,📦 supplies,needs review,needs review
2022-02-15,TRADER JO TRAD 02/15 #XXXXX8324 PURCHASE TRADER,98.33,['Shops', 'Supermarkets and Groceries'],no,no,Trader Joe's,🛒 groceries,no,no
2022-02-15,ONLINE TRANSFER BANK OF AMERICA 2/15 #XXXXX0008324,250.00,['Transfer', 'Debit'],needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-02-16,Dropbox BBBZKILNMV 141-58576933 CA 02/16,13.99,['Shops', 'Digital Purchase'],needs review,yes,Dropbox,💻 software,yes,yes
2022-02-16,2239 MJ4LBR3A AMAZON.COMH51UG38I0 AMAZON.COM SEATTLEWA C# 0497,11.62,['Shops', 'Digital Purchase'],needs review,no,Amazon,📦 supplies,needs review,needs review
2022-02-17,Zelle Transfer Conf# 2ag44jpio; Sarah,-21.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Sarah,↔️ transfer,no,no
2022-02-17,Zelle Transfer Conf# t28d732gh; Walter,-21.00,['Transfer', 'Credit'],no,no,Zelle Transfer - Walter,↔️ transfer,no,no
2022-02-17,02/14 UNITED,225.75,['Travel', 'Airlines and Aviation Services'],needs review,duplicate,United Airlines,🛫 flight,duplicate,duplicate
2022-02-18,POS DEBIT UDEMY SAN FRANCISC CA 0CN0 6951,17.99,['Shops', 'Digital Purchase'],needs review,yes,Udemy,🎓 industry education,needs review,yes
2022-02-20,MOBILE PURCHASE 02/20 MARATHON PETRO11,68.77,['Travel', 'Gas Stations'],no,no,Marathon,⛽ gas fill up,no,no
2022-02-20,PURCHASE AUTHORIZED ON 2/14 BOTTLE & BARREL XR262JP3623 XXXX8324,80.63,['Food and Drink', 'Restaurants'],needs review,no,Bottle & Barrel,🍽️ business meal,needs review,needs review
2022-02-21,2/14 BOTTLE & BARREL,92.00,['Food and Drink', 'Restaurants'],needs review,duplicate,Bottle & Barrel,🍽️ business meal,duplicate,duplicate
2022-02-21,ONLINE TRANSFER BANK OF AMERICA 2/21 #XXXXX0008324,250.00,['Transfer', 'Debit'],needs review,no,Transfer - Bank of America,↔️ transfer,no,no
